Color name 	Hex 	Red 	Green 	Blue 	Hue 	Saturation 	Lightness
#000000
	#000000 	0 	0 	0 	0Åã 	0% 	0%
#000033
	#000033 	0 	0 	51 	240Åã 	100% 	10%
#000066
	#000066 	0 	0 	102 	240Åã 	100% 	20%
#000099
	#000099 	0 	0 	153 	240Åã 	100% 	30%
#0000cc
	#0000cc 	0 	0 	204 	240Åã 	100% 	40%
#0000ff
	#0000ff 	0 	0 	255 	240Åã 	100% 	50%
#003300
	#003300 	0 	51 	0 	120Åã 	100% 	10%
#003333
	#003333 	0 	51 	51 	180Åã 	100% 	10%
#003366
	#003366 	0 	51 	102 	210Åã 	100% 	20%
#003399
	#003399 	0 	51 	153 	220Åã 	100% 	30%
#0033cc
	#0033cc 	0 	51 	204 	225Åã 	100% 	40%
#0033ff
	#0033ff 	0 	51 	255 	228Åã 	100% 	50%
#006600
	#006600 	0 	102 	0 	120Åã 	100% 	20%
#006633
	#006633 	0 	102 	51 	150Åã 	100% 	20%
#006666
	#006666 	0 	102 	102 	180Åã 	100% 	20%
#006699
	#006699 	0 	102 	153 	200Åã 	100% 	30%
#0066cc
	#0066cc 	0 	102 	204 	210Åã 	100% 	40%
#0066ff
	#0066ff 	0 	102 	255 	216Åã 	100% 	50%
#009900
	#009900 	0 	153 	0 	120Åã 	100% 	30%
#009933
	#009933 	0 	153 	51 	140Åã 	100% 	30%
#009966
	#009966 	0 	153 	102 	160Åã 	100% 	30%
#009999
	#009999 	0 	153 	153 	180Åã 	100% 	30%
#0099cc
	#0099cc 	0 	153 	204 	195Åã 	100% 	40%
#0099ff
	#0099ff 	0 	153 	255 	204Åã 	100% 	50%
#00cc00
	#00cc00 	0 	204 	0 	120Åã 	100% 	40%
#00cc33
	#00cc33 	0 	204 	51 	135Åã 	100% 	40%
#00cc66
	#00cc66 	0 	204 	102 	150Åã 	100% 	40%
#00cc99
	#00cc99 	0 	204 	153 	165Åã 	100% 	40%
#00cccc
	#00cccc 	0 	204 	204 	180Åã 	100% 	40%
#00ccff
	#00ccff 	0 	204 	255 	192Åã 	100% 	50%
#00ff00
	#00ff00 	0 	255 	0 	120Åã 	100% 	50%
#00ff33
	#00ff33 	0 	255 	51 	132Åã 	100% 	50%
#00ff66
	#00ff66 	0 	255 	102 	144Åã 	100% 	50%
#00ff99
	#00ff99 	0 	255 	153 	156Åã 	100% 	50%
#00ffcc
	#00ffcc 	0 	255 	204 	168Åã 	100% 	50%
#00ffff
	#00ffff 	0 	255 	255 	180Åã 	100% 	50%
#330000
	#330000 	51 	0 	0 	0Åã 	100% 	10%
#330033
	#330033 	51 	0 	51 	300Åã 	100% 	10%
#330066
	#330066 	51 	0 	102 	270Åã 	100% 	20%
#330099
	#330099 	51 	0 	153 	260Åã 	100% 	30%
#3300cc
	#3300cc 	51 	0 	204 	255Åã 	100% 	40%
#3300ff
	#3300ff 	51 	0 	255 	252Åã 	100% 	50%
#333300
	#333300 	51 	51 	0 	60Åã 	100% 	10%
#333333
	#333333 	51 	51 	51 	0Åã 	0% 	20%
#333366
	#333366 	51 	51 	102 	240Åã 	33.3% 	30%
#333399
	#333399 	51 	51 	153 	240Åã 	50% 	40%
#3333cc
	#3333cc 	51 	51 	204 	240Åã 	60% 	50%
#3333ff
	#3333ff 	51 	51 	255 	240Åã 	100% 	60%
#336600
	#336600 	51 	102 	0 	90Åã 	100% 	20%
#336633
	#336633 	51 	102 	51 	120Åã 	33.3% 	30%
#336666
	#336666 	51 	102 	102 	180Åã 	33.3% 	30%
#336699
	#336699 	51 	102 	153 	210Åã 	50% 	40%
#3366cc
	#3366cc 	51 	102 	204 	220Åã 	60% 	50%
#3366ff
	#3366ff 	51 	102 	255 	225Åã 	100% 	60%
#339900
	#339900 	51 	153 	0 	100Åã 	100% 	30%
#339933
	#339933 	51 	153 	51 	120Åã 	50% 	40%
#339966
	#339966 	51 	153 	102 	150Åã 	50% 	40%
#339999
	#339999 	51 	153 	153 	180Åã 	50% 	40%
#3399cc
	#3399cc 	51 	153 	204 	200Åã 	60% 	50%
#3399ff
	#3399ff 	51 	153 	255 	210Åã 	100% 	60%
#33cc00
	#33cc00 	51 	204 	0 	105Åã 	100% 	40%
#33cc33
	#33cc33 	51 	204 	51 	120Åã 	60% 	50%
#33cc66
	#33cc66 	51 	204 	102 	140Åã 	60% 	50%
#33cc99
	#33cc99 	51 	204 	153 	160Åã 	60% 	50%
#33cccc
	#33cccc 	51 	204 	204 	180Åã 	60% 	50%
#33ccff
	#33ccff 	51 	204 	255 	195Åã 	100% 	60%
#33ff00
	#33ff00 	51 	255 	0 	108Åã 	100% 	50%
#33ff33
	#33ff33 	51 	255 	51 	120Åã 	100% 	60%
#33ff66
	#33ff66 	51 	255 	102 	135Åã 	100% 	60%
#33ff99
	#33ff99 	51 	255 	153 	150Åã 	100% 	60%
#33ffcc
	#33ffcc 	51 	255 	204 	165Åã 	100% 	60%
#33ffff
	#33ffff 	51 	255 	255 	180Åã 	100% 	60%
#660000
	#660000 	102 	0 	0 	0Åã 	100% 	20%
#660033
	#660033 	102 	0 	51 	330Åã 	100% 	20%
#660066
	#660066 	102 	0 	102 	300Åã 	100% 	20%
#660099
	#660099 	102 	0 	153 	280Åã 	100% 	30%
#6600cc
	#6600cc 	102 	0 	204 	270Åã 	100% 	40%
#6600ff
	#6600ff 	102 	0 	255 	264Åã 	100% 	50%
#663300
	#663300 	102 	51 	0 	30Åã 	100% 	20%
#663333
	#663333 	102 	51 	51 	0Åã 	33.3% 	30%
#663366
	#663366 	102 	51 	102 	300Åã 	33.3% 	30%
#663399
	#663399 	102 	51 	153 	270Åã 	50% 	40%
#6633cc
	#6633cc 	102 	51 	204 	260Åã 	60% 	50%
#6633ff
	#6633ff 	102 	51 	255 	255Åã 	100% 	60%
#666600
	#666600 	102 	102 	0 	60Åã 	100% 	20%
#666633
	#666633 	102 	102 	51 	60Åã 	33.3% 	30%
#666666
	#666666 	102 	102 	102 	0Åã 	0% 	40%
#666699
	#666699 	102 	102 	153 	240Åã 	20% 	50%
#6666cc
	#6666cc 	102 	102 	204 	240Åã 	50% 	60%
#6666ff
	#6666ff 	102 	102 	255 	240Åã 	100% 	70%
#669900
	#669900 	102 	153 	0 	80Åã 	100% 	30%
#669933
	#669933 	102 	153 	51 	90Åã 	50% 	40%
#669966
	#669966 	102 	153 	102 	120Åã 	20% 	50%
#669999
	#669999 	102 	153 	153 	180Åã 	20% 	50%
#6699cc
	#6699cc 	102 	153 	204 	210Åã 	50% 	60%
#6699ff
	#6699ff 	102 	153 	255 	220Åã 	100% 	70%
#66cc00
	#66cc00 	102 	204 	0 	90Åã 	100% 	40%
#66cc33
	#66cc33 	102 	204 	51 	100Åã 	60% 	50%
#66cc66
	#66cc66 	102 	204 	102 	120Åã 	50% 	60%
#66cc99
	#66cc99 	102 	204 	153 	150Åã 	50% 	60%
#66cccc
	#66cccc 	102 	204 	204 	180Åã 	50% 	60%
#66ccff
	#66ccff 	102 	204 	255 	200Åã 	100% 	70%
#66ff00
	#66ff00 	102 	255 	0 	96Åã 	100% 	50%
#66ff33
	#66ff33 	102 	255 	51 	105Åã 	100% 	60%
#66ff66
	#66ff66 	102 	255 	102 	120Åã 	100% 	70%
#66ff99
	#66ff99 	102 	255 	153 	140Åã 	100% 	70%
#66ffcc
	#66ffcc 	102 	255 	204 	160Åã 	100% 	70%
#66ffff
	#66ffff 	102 	255 	255 	180Åã 	100% 	70%
#990000
	#990000 	153 	0 	0 	0Åã 	100% 	30%
#990033
	#990033 	153 	0 	51 	340Åã 	100% 	30%
#990066
	#990066 	153 	0 	102 	320Åã 	100% 	30%
#990099
	#990099 	153 	0 	153 	300Åã 	100% 	30%
#9900cc
	#9900cc 	153 	0 	204 	285Åã 	100% 	40%
#9900ff
	#9900ff 	153 	0 	255 	276Åã 	100% 	50%
#993300
	#993300 	153 	51 	0 	20Åã 	100% 	30%
#993333
	#993333 	153 	51 	51 	0Åã 	50% 	40%
#993366
	#993366 	153 	51 	102 	330Åã 	50% 	40%
#993399
	#993399 	153 	51 	153 	300Åã 	50% 	40%
#9933cc
	#9933cc 	153 	51 	204 	280Åã 	60% 	50%
#9933ff
	#9933ff 	153 	51 	255 	270Åã 	100% 	60%
#996600
	#996600 	153 	102 	0 	40Åã 	100% 	30%
#996633
	#996633 	153 	102 	51 	30Åã 	50% 	40%
#996666
	#996666 	153 	102 	102 	0Åã 	20% 	50%
#996699
	#996699 	153 	102 	153 	300Åã 	20% 	50%
#9966cc
